"book_id","book_title","book_original_title","book_author","book_score","book_score_count","book_genre_info","book_similar","book_id_exists","","","","","","","",""
"114","Delenda Est","Delenda Est","Пол Андерсон","7.85","639","wg1;wg13;wg52;wg78;wg69;wg113;wg111;wg150;wg106","6171;217818;235706;84656","True","","","","","","","",""
"115","Murder in Black Letter","","Пол Андерсон","8.50","6","","","True","","","","","","","",""
"116","Великий крестовый поход","The High Crusade","Пол Андерсон","8.16","768","wg1;wg4;wg3;wg52;wg48;wg64;wg89;wg127;wg90;wg69;wg71;wg192;wg96;wg103;wg136;wg115;wg150;wg106","2501;40956;7018;23345;6380;129100;1379;47136","True","","","","","","","",""
"117","Бич властителей","The Plague of Masters","Пол Андерсон","7.45","89","wg1;wg4;wg3;wg52;wg89;wg127;wg103;wg223;wg136;wg142;wg150;wg106","","True","","","","","","","",""
"118","The Golden Slave","","Пол Андерсон","8.50","6","","","True","","","","","","","",""
"119","Rogue Sword","","Пол Андерсон","8.43","7","","","True","","","","","","","",""
"120","___","___","___","___","___","___","___","False","","","","","","","",""
"121","По секрету всему свету","A Message in Secret","Пол Андерсон","7.91","87","wg1;wg4;wg3;wg52;wg89;wg127;wg103;wg142;wg223;wg136;wg150;wg106","","True","","","","","","","",""
"122","Нелимитированная орбита","Orbit Unlimited","Пол Андерсон","7.34","108","","","True","","","","","","","",""
"123","Три сердца и три льва","Three Hearts and Three Lions","Пол Андерсон","7.89","726","wg19;wg21;wg52;wg91;wg96;wg113;wg150;wg106","3341;72;36564;11708;5435","True","","","","","","","",""
"124","___","___","___","___","___","___","___","False","","","","","","","",""
"125","Murder Bound","","Пол Андерсон","7.75","8","","","True","","","","","","","",""
"126","После судного дня","After Doomsday","Пол Андерсон","6.96","65","wg1;wg4;wg15;wg52;wg89;wg127;wg90;wg103;wg142;wg111;wg136;wg171;wg106","","True","","","","","","","",""
"127","Самодельная ракета","The Makeshift Rocket","Пол Андерсон","6.76","33","wg1;wg3;wg48;wg89;wg127;wg103;wg150;wg106","","True","","","","","","","",""
"128","Ооновец","Un-man","Пол Андерсон","7.81","49","wg1;wg2;wg15;wg52;wg14;wg69;wg202;wg75;wg101;wg156;wg223;wg153;wg106","","True","","","","","","","",""
"129","Лицо в ночи","The Night Face","Пол Андерсон","8.10","101","wg1;wg3;wg52;wg89;wg127;wg103;wg136;wg142;wg150;wg106","13109;211906","True","","","","","","","",""
"130","Щит","Shield","Пол Андерсон","6.86","148","wg1;wg2;wg3;wg52;wg14;wg69;wg202;wg75;wg103;wg150;wg106","2138;63361;7017","True","","","","","","","",""
"131","Time and Stars","","Пол Андерсон","2.00","1","","","True","","","","","","","",""
"132","___","___","___","___","___","___","___","False","","","","","","","",""
"133","Поворотный пункт","Turning Point","Пол Андерсон","7.91","285","wg1;wg3;wg14;wg89;wg127;wg103;wg136;wg142;wg150;wg106","1258;5642;975662;6380","True","","","","","","","",""
"134","Побег с орбиты","Escape from Orbit","Пол Андерсон","6.40","5","","","True","","","","","","","",""
"135","Звёздный торговец","Trader to the Stars","Пол Андерсон","7.40","103","","391698","True","","","","","","","",""
"136","The Critique of Impure Reason","","Пол Андерсон","4.50","2","","","True","","","","","","","",""
"137","___","___","___","___","___","___","___","False","","","","","","","",""
"138","Баллада притворного приверженца","Ballade of an Artificial Satellite","Пол Андерсон","6.43","14","","","True","","","","","","","",""
"139","___","___","___","___","___","___","___","False","","","","","","","",""
"140","___","___","___","___","___","___","___","False","","","","","","","",""
"141","___","___","___","___","___","___","___","False","","","","","","","",""
"142","___","___","___","___","___","___","___","False","","","","","","","",""
"143","___","___","___","___","___","___","___","False","","","","","","","",""
"144","Звёздный лис","The Star Fox","Пол Андерсон","7.22","273","wg1;wg4;wg52;wg64;wg89;wg127;wg90;wg69;wg202;wg75;wg103;wg115;wg142;wg136;wg150;wg106","38725","True","","","","","","","",""
"145","Лейтенант Фландри","Ensign Flandry","Пол Андерсон","7.35","287","wg1;wg4;wg3;wg52;wg89;wg127;wg103;wg142;wg136;wg150;wg106","3997;20392;2782","True","","","","","","","",""
"146","Мир без звёзд","World Without Stars","Пол Андерсон","7.48","46","wg1;wg3;wg164;wg52;wg89;wg127;wg103;wg136;wg150;wg106","","True","","","","","","","",""
